customer_id,signup_date,last_active,total_spend,num_support_tickets,total_logins,subscription_type,country,churned
CUST_0,2024-02-22,2024-12-05,2165.008325017633,4,71,basic,USA,0
CUST_1,2024-10-15,2024-12-03,2523.4336955028375,1,70,enterprise,Canada,0
CUST_2,2024-08-26,2024-12-05,1105.712568881643,6,47,premium,USA,0
CUST_3,2023-12-31,2024-12-17,4746.09787440428,3,133,basic,Australia,0
CUST_4,2024-06-29,2024-12-11,3335.767529710784,2,156,basic,Australia,0
CUST_5,2024-11-09,2024-12-16,2955.7050164037696,9,171,enterprise,Australia,0
CUST_6,2024-07-22,2024-12-11,113.58814124475484,7,70,basic,Australia,0
CUST_7,2024-11-24,2024-12-13,3437.0628239023827,6,112,premium,Australia,0
CUST_8,2024-02-28,2024-11-29,564.9215382602224,3,69,premium,Australia,0
CUST_9,2024-11-17,2024-12-20,2822.0619119388407,2,21,premium,Canada,0
CUST_10,2024-03-20,2024-12-13,1999.8022832082215,1,79,enterprise,Canada,0
CUST_11,2024-10-25,2024-12-14,3365.6340146910225,0,174,basic,UK,0
CUST_12,2024-07-12,2024-12-24,2961.928607542086,6,100,basic,Canada,0
CUST_13,2024-04-03,2024-12-20,1579.069938681948,1,32,enterprise,Canada,0
CUST_14,2024-04-03,2024-12-21,542.4946378815666,7,53,premium,UK,0
CUST_15,2024-09-12,2024-12-05,3836.046931822509,3,139,enterprise,Australia,0
CUST_16,2024-07-27,2024-12-27,3476.5514000531393,3,169,premium,Canada,0
CUST_17,2024-08-06,2024-12-19,1347.4292553489918,9,181,enterprise,USA,0
CUST_18,2024-07-24,2024-12-19,3715.543730761809,7,76,basic,Canada,0
CUST_19,2024-03-21,2024-12-20,1081.7820097602914,2,129,basic,Canada,0
CUST_20,2024-05-10,2024-12-23,2654.255190025907,0,162,basic,UK,0
CUST_21,2024-03-26,2024-12-06,1400.217198159537,1,49,premium,UK,0
CUST_22,2024-01-23,2024-12-15,2828.4301030424176,4,38,basic,Australia,0
CUST_23,2024-03-28,2024-12-23,4243.174994954952,3,173,premium,USA,0
CUST_24,2024-01-24,2024-11-29,3231.079342876757,4,25,enterprise,Australia,0
CUST_25,2024-09-30,2024-12-26,1782.4073912175875,1,52,premium,Canada,0
CUST_26,2024-07-06,2024-12-10,2152.6828356115234,3,123,premium,UK,0
CUST_27,2024-02-15,2024-12-06,1505.830760304622,9,196,basic,Canada,0
CUST_28,2024-05-01,2024-12-16,1332.0552332655668,3,38,enterprise,USA,0
CUST_29,2024-09-02,2024-12-27,4039.879574561499,7,63,basic,Australia,0
CUST_30,2024-01-01,2024-12-25,815.2440112683511,9,31,basic,Australia,1
CUST_31,2024-05-06,2024-12-10,4981.51774013764,2,159,enterprise,USA,0
CUST_32,2024-10-22,2024-12-27,2146.6665197512866,4,101,basic,Canada,0
CUST_33,2024-11-26,2024-11-29,3538.633106413804,9,97,enterprise,Australia,0
CUST_34,2024-02-21,2024-12-09,1861.3145450185182,2,36,premium,Australia,0
